# lastUpdated: 2026-09-16T11:08:45.392Z
CourseCode,Section,Faculty,CourseTime,TotalSeat,TakenSeat,RoomId,Room
ACT201,1,ARM,04:20 PM - 05:50 PM MW,40,40,70,NAC202
ACT201,2,ARM,02:40 PM - 04:10 PM ST,40,40,20,NAC309
ACT201,3,ARM,11:20 AM - 12:50 PM ST,40,40,63,NAC307
ACT201,4,Asy,11:20 AM - 12:50 PM MW,40,40,63,NAC307
ACT201,5,Asy,09:40 AM - 11:10 AM MW,40,40,22,NAC206
ACT201,6,AZR,08:00 AM - 09:30 AM ST,40,40,20,NAC309
ACT201,7,FI,01:00 PM - 02:30 PM MW,40,40,22,NAC206
ACT201,8,FI,02:40 PM - 04:10 PM MW,40,40,63,NAC307
ACT201,9,HAS,04:20 PM - 05:50 PM MW,40,40,20,NAC309
ACT201,10,IAC,08:00 AM - 09:30 AM ST,40,40,21,NAC310
ACT201,11,IAC,11:20 AM - 12:50 PM ST,40,40,17,NAC410
ACT201,12,KHM,01:00 PM - 02:30 PM RA,40,40,21,NAC310
ACT201,13,KSR,01:00 PM - 02:30 PM RA,40,40,17,NAC410
ACT201,14,KSR,04:20 PM - 05:50 PM RA,40,40,21,NAC310
ACT201,15,MdM,01:00 PM - 02:30 PM ST,40,40,13,NAC508
ACT201,16,MdM,09:40 AM - 11:10 AM ST,40,40,63,NAC307
ACT201,17,MhMR,08:00 AM - 09:30 AM RA,40,40,20,NAC309
ACT201,18,MIBS,11:20 AM - 12:50 PM ST,40,40,18,NAC411
ACT201,19,MIBS,09:40 AM - 11:10 AM ST,40,40,360,NAC512A
ACT201,20,MOB,09:40 AM - 11:10 AM RA,40,25,15,NAC510
ACT201,21,MOB,11:20 AM - 12:50 PM RA,40,20,17,NAC410
ACT201,22,MSKn,01:00 PM - 02:30 PM RA,40,40,18,NAC411
ACT201,23,MSKn,02:40 PM - 04:10 PM RA,40,40,17,NAC410
ACT201,24,NNh,09:40 AM - 11:10 AM ST,40,40,21,NAC310
ACT201,25,NNh,11:20 AM - 12:50 PM ST,40,40,13,NAC508
ACT201,26,SHA1,01:00 PM - 02:30 PM ST,40,40,20,NAC309
ACT201,27,SHA1,02:40 PM - 04:10 PM ST,40,22,156,NAC620
ACT201,28,TsA,08:00 AM - 09:30 AM MW,40,40,13,NAC508
ACT201,29,TsA,11:20 AM - 12:50 PM ST,40,40,3,NAC603
ACT201,30,Aay,06:00 PM - 07:30 PM RA,40,34,22,NAC206
ACT201,31,Ahu,01:00 PM - 02:30 PM RA,40,40,20,NAC309
ACT201,32,TBA,11:20 AM - 12:50 PM RA,40,22,15,NAC510
ACT201,33,AWKM,01:00 PM - 02:30 PM MW,40,0,247,NAC1078
ACT202,1,Ahu,09:40 AM - 11:10 AM RA,40,40,17,NAC410
ACT202,2,Ahu,02:40 PM - 04:10 PM RA,40,40,20,NAC309
ACT202,3,AWKm,04:20 PM - 05:50 PM ST,40,11,21,NAC310
ACT202,4,FI,01:00 PM - 02:30 PM ST,40,40,17,NAC410
ACT202,5,FI,02:40 PM - 04:10 PM ST,40,40,17,NAC410
ACT202,6,IAC,01:00 PM - 02:30 PM MW,40,35,20,NAC309
ACT202,7,IAC,08:00 AM - 09:30 AM MW,40,16,20,NAC309
ACT202,8,KHM,02:40 PM - 04:10 PM RA,40,40,21,NAC310
ACT202,9,KSR,11:20 AM - 12:50 PM RA,40,40,21,NAC310
ACT202,10,MGR,08:00 AM - 09:30 AM MW,40,40,21,NAC310
ACT202,11,MIBS,09:40 AM - 11:10 AM MW,40,40,21,NAC310
ACT202,12,MTMD,04:20 PM - 05:50 PM MW,40,40,147,NAC993
ACT202,13,MTMD,06:00 PM - 07:30 PM MW,40,40,21,NAC310
ACT202,14,Rby,02:40 PM - 04:10 PM ST,40,40,3,NAC603
ACT202,15,RMH1,08:00 AM - 09:30 AM MW,40,40,39,NAC406
ACT202,16,RQR,09:40 AM - 11:10 AM RA,40,40,145,NAC991
ACT202,17,SHA1,01:00 PM - 02:30 PM MW,40,24,13,NAC508
ACT202,18,SHA1,04:20 PM - 05:50 PM MW,40,0,3,NAC603
ACT202,19,Sys,08:00 AM - 09:30 AM MW,40,40,12,NAC507
ACT202,20,Sys,11:20 AM - 12:50 PM MW,40,40,360,NAC512A
ACT202,21,TsA,08:00 AM - 09:30 AM ST,40,40,15,NAC510
ACT202,22,TsA,09:40 AM - 11:10 AM ST,40,40,15,NAC510
ACT202,23,AWKM,01:00 PM - 02:30 PM ST,40,19,247,NAC1078
ACT310,1,MGR,09:40 AM - 11:10 AM ST,40,28,20,NAC309
ACT310,2,Rby,09:40 AM - 11:10 AM MW,40,19,18,NAC411
ACT310,3,Rby,01:00 PM - 02:30 PM MW,40,40,18,NAC411
ACT320,1,MGR,01:00 PM - 02:30 PM MW,40,28,21,NAC310
ACT320,2,RMH1,08:00 AM - 09:30 AM ST,40,15,17,NAC410
ACT320,3,RMH1,01:00 PM - 02:30 PM ST,40,40,360,NAC512A
ACT360,1,MIBS,01:00 PM - 02:30 PM MW,40,21,17,NAC410
ACT360,2,Rby,01:00 PM - 02:30 PM ST,40,20,15,NAC510
ACT370,1,Ahu,02:40 PM - 04:10 PM ST,40,22,22,NAC206
ACT370,2,RMH1,11:20 AM - 12:50 PM MW,40,21,15,NAC510
ACT380,1,FJM,02:40 PM - 04:10 PM MW,40,31,360,NAC512A
